 component   0 : { size: 11927552, (unique: 7914054), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 4012573, (unique: 537155), root: 13198, level:   1, parent:   0 } 

 component   2 : { size:  10, (unique:  10), root: 89544, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 137410, level:   1, parent:   0 } 

 component   4 : { size:   2, (unique:   2), root: 184556, level:   1, parent:   0 } 

 component   5 : { size:   3, (unique:   3), root: 325849, level:   1, parent:   0 } 

 component   6 : { size:   1, (unique:   1), root: 325853, level:   1, parent:   0 } 

 component   7 : { size:   1, (unique:   1), root: 418701, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 650982, level:   1, parent:   0 } 

 component   9 : { size:   1, (unique:   1), root: 905702, level:   1, parent:   0 } 

 component  10 : { size:   1, (unique:   1), root: 1395682, level:   1, parent:   0 } 

 component  11 : { size:   1, (unique:   1), root: 1440653, level:   1, parent:   0 } 

 component  12 : { size:   1, (unique:   1), root: 1442092, level:   1, parent:   0 } 

 component  13 : { size:   3, (unique:   3), root: 2161551, level:   1, parent:   0 } 

 component  14 : { size:   8, (unique:   8), root: 3807043, level:   1, parent:   0 } 

 component  15 : { size:   3, (unique:   3), root: 4067461, level:   1, parent:   0 } 

 component  16 : { size:  10, (unique:  10), root: 4273759, level:   1, parent:   0 } 

 component  17 : { size:   7, (unique:   7), root: 4314907, level:   1, parent:   0 } 

 component  18 : { size:   8, (unique:   8), root: 4407810, level:   1, parent:   0 } 

 component  19 : { size:  24, (unique:  24), root: 4506354, level:   1, parent:   0 } 

 component  20 : { size:   2, (unique:   2), root: 4739677, level:   1, parent:   0 } 

 component  21 : { size:   4, (unique:   4), root: 5273882, level:   1, parent:   0 } 

 component  22 : { size:   8, (unique:   8), root: 5367068, level:   1, parent:   0 } 

 component  23 : { size:   2, (unique:   2), root: 5533314, level:   1, parent:   0 } 

 component  24 : { size:   1, (unique:   1), root: 5580270, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 5646270, level:   1, parent:   0 } 

 component  26 : { size:   1, (unique:   1), root: 6065623, level:   1, parent:   0 } 

 component  27 : { size:   2, (unique:   2), root: 6544701, level:   1, parent:   0 } 

 component  28 : { size:   1, (unique:   1), root: 7233168, level:   1, parent:   0 } 

 component  29 : { size:   1, (unique:   1), root: 8777631, level:   1, parent:   0 } 

 component  30 : { size:   4, (unique:   4), root: 8823672, level:   1, parent:   0 } 

 component  31 : { size:   1, (unique:   1), root: 8915332, level:   1, parent:   0 } 

 component  32 : { size:   1, (unique:   1), root: 8962472, level:   1, parent:   0 } 

 component  33 : { size:   1, (unique:   1), root: 8963441, level:   1, parent:   0 } 

 component  34 : { size:   1, (unique:   1), root: 9010214, level:   1, parent:   0 } 

 component  35 : { size:   1, (unique:   1), root: 9056746, level:   1, parent:   0 } 

 component  36 : { size:   1, (unique:   1), root: 9103941, level:   1, parent:   0 } 

 component  37 : { size:   4, (unique:   4), root: 9244029, level:   1, parent:   0 } 

 component  38 : { size:   5, (unique:   5), root: 9291529, level:   1, parent:   0 } 

 component  39 : { size:   2, (unique:   2), root: 9292609, level:   1, parent:   0 } 

 component  40 : { size:   1, (unique:   1), root: 9292799, level:   1, parent:   0 } 

 component  41 : { size:   1, (unique:   1), root: 9338296, level:   1, parent:   0 } 

 component  42 : { size:   1, (unique:   1), root: 9338306, level:   1, parent:   0 } 

 component  43 : { size:   3, (unique:   3), root: 9338487, level:   1, parent:   0 } 

 component  44 : { size:   2, (unique:   2), root: 9339204, level:   1, parent:   0 } 

 component  45 : { size:   5, (unique:   5), root: 9339212, level:   1, parent:   0 } 

 component  46 : { size:  23, (unique:  23), root: 9385435, level:   1, parent:   0 } 

 component  47 : { size:   1, (unique:   1), root: 9434749, level:   1, parent:   0 } 

 component  48 : { size:   1, (unique:   1), root: 9477765, level:   1, parent:   0 } 

 component  49 : { size:   1, (unique:   1), root: 9478260, level:   1, parent:   0 } 

 component  50 : { size:   1, (unique:   1), root: 9478802, level:   1, parent:   0 } 

 component  51 : { size:   1, (unique:   1), root: 9479231, level:   1, parent:   0 } 

 component  52 : { size:   1, (unique:   1), root: 9480083, level:   1, parent:   0 } 

 component  53 : { size:   1, (unique:   1), root: 9480263, level:   1, parent:   0 } 

 component  54 : { size:   1, (unique:   1), root: 9523404, level:   1, parent:   0 } 

 component  55 : { size:   1, (unique:   1), root: 9524491, level:   1, parent:   0 } 

 component  56 : { size:   1, (unique:   1), root: 9524672, level:   1, parent:   0 } 

 component  57 : { size:   1, (unique:   1), root: 9527465, level:   1, parent:   0 } 

 component  58 : { size:   7, (unique:   7), root: 9571267, level:   1, parent:   0 } 

 component  59 : { size:   3, (unique:   3), root: 9571991, level:   1, parent:   0 } 

 component  60 : { size:   2, (unique:   2), root: 9574969, level:   1, parent:   0 } 

 component  61 : { size:  74, (unique:  74), root: 9617861, level:   1, parent:   0 } 

 component  62 : { size:   1, (unique:   1), root: 9618816, level:   1, parent:   0 } 

 component  63 : { size:   1, (unique:   1), root: 9619131, level:   1, parent:   0 } 

 component  64 : { size:   1, (unique:   1), root: 9620097, level:   1, parent:   0 } 

 component  65 : { size:   1, (unique:   1), root: 9620280, level:   1, parent:   0 } 

 component  66 : { size:   1, (unique:   1), root: 9620463, level:   1, parent:   0 } 

 component  67 : { size:   1, (unique:   1), root: 9665544, level:   1, parent:   0 } 

 component  68 : { size:   7, (unique:   7), root: 9665724, level:   1, parent:   0 } 

 component  69 : { size:   1, (unique:   1), root: 9665772, level:   1, parent:   0 } 

 component  70 : { size:   1, (unique:   1), root: 9666869, level:   1, parent:   0 } 

 component  71 : { size:   5, (unique:   5), root: 9667052, level:   1, parent:   0 } 

 component  72 : { size:   2, (unique:   2), root: 9710524, level:   1, parent:   0 } 

 component  73 : { size:   7, (unique:   7), root: 9710701, level:   1, parent:   0 } 

 component  74 : { size:   1, (unique:   1), root: 9711958, level:   1, parent:   0 } 

 component  75 : { size:   1, (unique:   1), root: 9712502, level:   1, parent:   0 } 

 component  76 : { size:   1, (unique:   1), root: 9712683, level:   1, parent:   0 } 

 component  77 : { size:   3, (unique:   3), root: 9713093, level:   1, parent:   0 } 

 component  78 : { size:   3, (unique:   3), root: 9713459, level:   1, parent:   0 } 

 component  79 : { size:   1, (unique:   1), root: 9715397, level:   1, parent:   0 } 

 component  80 : { size:   1, (unique:   1), root: 9716123, level:   1, parent:   0 } 

 component  81 : { size: 100, (unique: 100), root: 9757652, level:   1, parent:   0 } 

 component  82 : { size:   1, (unique:   1), root: 9758033, level:   1, parent:   0 } 

 component  83 : { size:   1, (unique:   1), root: 9758373, level:   1, parent:   0 } 

 component  84 : { size:  13, (unique:  13), root: 9758397, level:   1, parent:   0 } 

 component  85 : { size:   1, (unique:   1), root: 9758556, level:   1, parent:   0 } 

 component  86 : { size:   2, (unique:   2), root: 9758734, level:   1, parent:   0 } 

 component  87 : { size:   4, (unique:   4), root: 9758914, level:   1, parent:   0 } 

 component  88 : { size:   1, (unique:   1), root: 9759131, level:   1, parent:   0 } 

 component  89 : { size:   3, (unique:   3), root: 9759276, level:   1, parent:   0 } 

 component  90 : { size:  12, (unique:  12), root: 9759499, level:   1, parent:   0 } 

 component  91 : { size:   3, (unique:   3), root: 9759819, level:   1, parent:   0 } 

 component  92 : { size:   1, (unique:   1), root: 9760597, level:   1, parent:   0 } 

 component  93 : { size:   1, (unique:   1), root: 9762717, level:   1, parent:   0 } 

 component  94 : { size:   1, (unique:   1), root: 9805150, level:   1, parent:   0 } 

 component  95 : { size:   9, (unique:   9), root: 9805331, level:   1, parent:   0 } 

 component  96 : { size:   1, (unique:   1), root: 9805333, level:   1, parent:   0 } 

 component  97 : { size:   2, (unique:   2), root: 9805538, level:   1, parent:   0 } 

 component  98 : { size:  15, (unique:  15), root: 9805903, level:   1, parent:   0 } 

 component  99 : { size:   1, (unique:   1), root: 9806052, level:   1, parent:   0 } 

 component 100 : { size:   3, (unique:   3), root: 9806235, level:   1, parent:   0 } 

 component 101 : { size:   1, (unique:   1), root: 9807002, level:   1, parent:   0 } 

 component 102 : { size:   1, (unique:   1), root: 9813675, level:   1, parent:   0 } 

 component 103 : { size:   1, (unique:   1), root: 9814588, level:   1, parent:   0 } 

 component 104 : { size:  61, (unique:  61), root: 9851934, level:   1, parent:   0 } 

 component 105 : { size:   1, (unique:   1), root: 9852121, level:   1, parent:   0 } 

 component 106 : { size:   1, (unique:   1), root: 9852291, level:   1, parent:   0 } 

 component 107 : { size:   2, (unique:   2), root: 9852470, level:   1, parent:   0 } 

 component 108 : { size:   1, (unique:   1), root: 9852491, level:   1, parent:   0 } 

 component 109 : { size:  18, (unique:  18), root: 9852672, level:   1, parent:   0 } 

 component 110 : { size:   1, (unique:   1), root: 9852830, level:   1, parent:   0 } 

 component 111 : { size:   2, (unique:   2), root: 9852832, level:   1, parent:   0 } 

 component 112 : { size:   4, (unique:   4), root: 9853011, level:   1, parent:   0 } 

 component 113 : { size:   1, (unique:   1), root: 9853406, level:   1, parent:   0 } 

 component 114 : { size:   1, (unique:   1), root: 9858889, level:   1, parent:   0 } 

 component 115 : { size:   1, (unique:   1), root: 9859359, level:   1, parent:   0 } 

 component 116 : { size:   4, (unique:   4), root: 9899992, level:   1, parent:   0 } 

