 component   0 : { size: 11927552, (unique: 7947833), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 3977157, (unique: 420010), root: 13380, level:   1, parent:   0 } 

 component   2 : { size:   8, (unique:   5), root: 39532, level:   1, parent:   0 } 

 component   3 : { size:  14, (unique:  12), root: 63253, level:   1, parent:   0 } 

 component   4 : { size:   1, (unique:   1), root: 63427, level:   1, parent:   0 } 

 component   5 : { size:   1, (unique:   1), root: 83571, level:   1, parent:   0 } 

 component   6 : { size:   1, (unique:   1), root: 85578, level:   1, parent:   0 } 

 component   7 : { size:   1, (unique:   1), root: 92894, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 92897, level:   1, parent:   0 } 

 component   9 : { size:   1, (unique:   1), root: 110906, level:   1, parent:   0 } 

 component  10 : { size:   2, (unique:   2), root: 139529, level:   1, parent:   0 } 

 component  11 : { size:   8, (unique:   7), root: 223101, level:   1, parent:   0 } 

 component  12 : { size:   2, (unique:   2), root: 223347, level:   1, parent:   0 } 

 component  13 : { size:   1, (unique:   1), root: 269392, level:   1, parent:   0 } 

 component  14 : { size:   2, (unique:   2), root: 270420, level:   1, parent:   0 } 

 component  15 : { size:   2, (unique:   2), root: 277382, level:   1, parent:   0 } 

 component  16 : { size:   1, (unique:   1), root: 315802, level:   1, parent:   0 } 

 component  17 : { size:   1, (unique:   1), root: 324158, level:   1, parent:   0 } 

 component  18 : { size:   1, (unique:   1), root: 324523, level:   1, parent:   0 } 

 component  19 : { size:   1, (unique:   1), root: 324707, level:   1, parent:   0 } 

 component  20 : { size:  14, (unique:  14), root: 324882, level:   1, parent:   0 } 

 component  21 : { size:   1, (unique:   1), root: 363422, level:   1, parent:   0 } 

 component  22 : { size:  10, (unique:   9), root: 363785, level:   1, parent:   0 } 

 component  23 : { size:   4, (unique:   4), root: 371300, level:   1, parent:   0 } 

 component  24 : { size:   1, (unique:   1), root: 371666, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 455515, level:   1, parent:   0 } 

 component  26 : { size:   1, (unique:   1), root: 456242, level:   1, parent:   0 } 

 component  27 : { size:   1, (unique:   1), root: 465344, level:   1, parent:   0 } 

 component  28 : { size:   1, (unique:   1), root: 502289, level:   1, parent:   0 } 

 component  29 : { size:   2, (unique:   2), root: 502717, level:   1, parent:   0 } 

 component  30 : { size:   1, (unique:   1), root: 549063, level:   1, parent:   0 } 

 component  31 : { size:   1, (unique:   1), root: 549608, level:   1, parent:   0 } 

 component  32 : { size:   1, (unique:   1), root: 550334, level:   1, parent:   0 } 

 component  33 : { size:   1, (unique:   1), root: 557811, level:   1, parent:   0 } 

 component  34 : { size:   1, (unique:   1), root: 558275, level:   1, parent:   0 } 

 component  35 : { size:   3, (unique:   3), root: 558475, level:   1, parent:   0 } 

 component  36 : { size:   3, (unique:   3), root: 595473, level:   1, parent:   0 } 

 component  37 : { size:   1, (unique:   1), root: 604542, level:   1, parent:   0 } 

 component  38 : { size:   1, (unique:   1), root: 641582, level:   1, parent:   0 } 

 component  39 : { size:   1, (unique:   1), root: 643700, level:   1, parent:   0 } 

 component  40 : { size:   2, (unique:   2), root: 669326, level:   1, parent:   0 } 

 component  41 : { size:   1, (unique:   1), root: 690473, level:   1, parent:   0 } 

 component  42 : { size:   1, (unique:   1), root: 715340, level:   1, parent:   0 } 

 component  43 : { size: 460, (unique: 280), root: 735794, level:   1, parent:   0 } 

 component  44 : { size:   1, (unique:   1), root: 736702, level:   1, parent:   0 } 

 component  45 : { size:   3, (unique:   3), root: 737141, level:   1, parent:   0 } 

 component  46 : { size:   1, (unique:   1), root: 741605, level:   1, parent:   0 } 

 component  47 : { size:   2, (unique:   2), root: 743519, level:   1, parent:   0 } 

 component  48 : { size:   1, (unique:   1), root: 743705, level:   1, parent:   0 } 

 component  49 : { size:   1, (unique:   1), root: 744097, level:   1, parent:   0 } 

 component  50 : { size:   3, (unique:   3), root: 763788, level:   1, parent:   0 } 

 component  51 : { size:   2, (unique:   2), root: 783657, level:   1, parent:   0 } 

 component  52 : { size:   3, (unique:   3), root: 790114, level:   1, parent:   0 } 

 component  53 : { size:   2, (unique:   2), root: 790503, level:   1, parent:   0 } 

 component  54 : { size:   1, (unique:   1), root: 790507, level:   1, parent:   0 } 

 component  55 : { size:   1, (unique:   1), root: 828433, level:   1, parent:   0 } 

 component  56 : { size:   1, (unique:   1), root: 836524, level:   1, parent:   0 } 

 component  57 : { size:   6, (unique:   6), root: 852214, level:   1, parent:   0 } 

 component  58 : { size:   5, (unique:   5), root: 852571, level:   1, parent:   0 } 

 component  59 : { size:   1, (unique:   1), root: 882201, level:   1, parent:   0 } 

 component  60 : { size:   8, (unique:   8), root: 898633, level:   1, parent:   0 } 

 component  61 : { size:   4, (unique:   4), root: 923069, level:   1, parent:   0 } 

